Instruction,Opcode (Binary),Funct (Binary),,Control Signals,,,,,,,,,,,,,,,,,,,,
,,,ALUSrcA,ALUSrcB,ALUControl,ALUShamtSel,PreShamtSel,MemtoReg,MemWrite,RegWrite,RegDst,ImmExtendType,JumpSel,JALFlag,JRFlag,BneFlag,BeqFlag,BranchOrJumpSel,"Note: these are example control signals from the text and your skeleton code; you will need to add more control signals; you may rename any control signals, except those given in the skeleton code.",,,,,
addi,"""001000""","""------""",0,1,0000,0,0,0,0,1,1,0,0,0,0,0,0,0,"Note: other signals you may have must be correctly assigned for the add; if you redefined these signals, you probably will need to change the sample values",,,,,
add,"""000000""","""100000""",0,0,0000,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
addiu,"""001001","""------""",0,1,0000,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,
addu,"""000000""","""100001""",0,0,0000,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
and,"""000000""","""100100""",0,0,1000,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
andi,"""001100""","""------""",0,1,1000,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,
lui,"""001111""","""------""",1,1,0110,1,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,
lw,"""100011""","""------""",0,1,0000,0,0,1,0,1,1,0,0,0,0,0,0,0,,,,,,
nor,"""000000""","""100111""",0,0,1001,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
xor,"""000000""","""100110""",0,0,1011,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
xori,"""001110""","""------""",0,1,1011,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,
or,"""000000""","""100101""",0,0,1010,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
ori,"""001101""","""------""",0,1,1010,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,
slt,"""000000""","""101010""",0,0,0011,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
slti,"""001010""","""------""",0,1,0011,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,
sltiu,"""001011""","""------""",0,1,0010,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,
sltu,"""000000""","""101011""",0,0,0010,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
sll,"""000000""","""000000""",0,0,0110,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
srl,"""000000""","""000010""",0,0,0100,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
sra,"""000000""","""000011""",0,0,0101,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
sllv,"""000000""","""000100""",0,0,0110,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,
srlv,"""000000""","""000110""",0,0,0100,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,
srav,"""000000""","""000111""",0,0,0101,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,
sw,"""101011""","""------""",0,1,0000,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
sub,"""000000""","""100010""",0,0,0001,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
subu,"""000000""","""100011""",0,0,0001,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
beq,"""000100""","""------""",0,0,0001,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,
bne,"""000101""","""------""",0,0,0001,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,
j,"""000010""","""------""",0,0,0000,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,
jal,"""000011""","""------""",0,0,0000,0,0,0,0,1,0,0,1,1,0,0,0,0,,,,,,
jr,"""000000""","""001000""",0,0,0000,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,